id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
252	Waffenruhe im Jemen hält nicht	1	0	2	0	0	0	0	0	0
253	Senat stellt sich gegen Trumps Saudi-Arabien-Politik	1	2	0	0	0	0	0	0	0
254	Waffenruhe für Teile des Jemens vereinbart	1	0	2	0	0	0	0	0	0
255	Einigung auf Waffenruhe für Jemens strategisch wichtigen Hafen	1	0	3	0	0	0	0	0	0
256	10 000 Todesopfer im Jemen	1	0	0	0	0	4	0	0	0
257	Friedensgespräche für Jemen	0	0	2	0	0	0	0	0	0
258	Jemens Regierung offen für Wiedereröffnung des Flughafens in Sanaa	0	0	1	0	0	0	0	0	0
259	Jemen-Gespräche beginnen	0	0	1	0	0	0	0	0	0
260	Am Abgrund	1	1	0	0	1	0	0	0	0
261	Gefangenentausch im Jemen	0	0	2	0	0	0	0	0	0
262	Gefangenenaustausch mit Rebellen im Jemen	0	0	4	0	0	0	0	0	0
263	Am Abgrund	0	1	0	0	1	0	0	0	0
265	Arabische Liga beschließt gemeinsame Eingreiftruppe	1	0	0	0	0	0	0	0	0
267	König Salman stimmt auf langen Krieg im Jemen ein	1	0	0	0	0	0	0	0	0
268	Saudische Militärallianz weitet Operationen aus	1	0	0	0	0	0	0	1	0
269	Konflikt im Jemen dreht den Ölmarkt	0	0	0	0	0	0	0	0	4
270	Konfrontation im Jemen	2	0	0	0	0	0	0	0	0
271	Stellvertreterkrieg im Jemen schafft neues Chaos	2	0	0	0	0	0	0	0	0
272	Luftangriffe im Jemen lasten auf Aktienkursen	0	0	0	0	0	0	0	0	1
273	Luftangriffe auf Houthi-Rebellen - Hadi in Saudi-Arabien	1	0	0	0	0	0	0	0	0
274	Saudi-Arabien fliegt Luftangriffe im Jemen	0	2	0	0	0	0	0	0	0
275	Iran kritisiert Luftschläge gegen Houthis	0	2	0	0	0	0	0	0	0
276	Jemen-Konflikt lässt Ölpreis stark steigen	0	0	0	0	0	0	0	0	3
278	Konflikt im Jemen dreht den Ölmarkt	0	0	0	0	0	0	0	0	4
279	Toxisches Gemisch im Armenhaus Arabiens	2	0	0	0	0	0	0	0	0
280	Jemens Regierung meldet Kampferfolg	2	0	0	0	0	0	0	0	0
281	Mehr als 140 Tote bei Luftschlag im Jemen	2	0	0	0	0	0	0	0	0
282	Mehr als 140 Tote bei schwerem Luftangriff im Jemen	2	0	0	0	0	0	0	0	0
283	Jemens Exilregierung zurück	0	0	1	0	0	0	0	0	0
284	Hafen von Aden zurückerobert	0	0	1	0	0	0	1	0	0
285	Waffenruhe im Jemen	0	0	3	0	0	0	0	0	0
